Ref,Theta,Error,Esfuerzo
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
0.000000,0.480000,-0.480000,-0.090000
